Labels,ZnSe_01092022_2nd Prep Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

459.00,1.41591216E-2,
460.00,1.47889461E-2,
461.00,1.37112234E-2,
462.00,1.45147312E-2,
463.00,1.40757272E-2,
464.00,1.37234228E-2,
465.00,1.14708738E-2,
466.00,1.61951054E-2,
467.00,1.05420258E-2,
468.00,1.22395204E-2,
469.00,1.25144478E-2,
470.00,1.09703466E-2,
471.00,1.53296646E-2,
472.00,1.18204756E-2,
473.00,1.24015613E-2,
474.00,1.13273952E-2,
475.00,1.18747475E-2,
476.00,1.21433474E-2,
477.00,1.18357008E-2,
478.00,1.17822448E-2,
479.00,1.02266129E-2,
480.00,1.27173858E-2,
481.00,1.06910467E-2,
482.00,1.11619877E-2,
483.00,1.04209622E-2,
484.00,1.03898356E-2,
485.00,1.01942224E-2,
486.00,1.00477841E-2,
487.00,9.90002882E-3,
488.00,1.04193501E-2,
489.00,1.02734677E-2,
490.00,8.50259606E-3,
491.00,8.81769694E-3,
492.00,9.44126304E-3,
493.00,9.74835549E-3,
494.00,9.18611605E-3,
495.00,9.12255049E-3,
496.00,9.49460920E-3,
497.00,9.52470023E-3,
498.00,9.52252746E-3,
499.00,9.40478034E-3,
500.00,9.22457222E-3,
