Labels,CdSe_190822 Absorbance (T) (260822),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,3,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,6.34841204E-1,
510.00,6.95571065E-1,
511.00,7.44881451E-1,
512.00,7.51672626E-1,
513.00,6.78568244E-1,
514.00,5.48372984E-1,
515.00,3.92519265E-1,
516.00,2.65367389E-1,
517.00,1.67603120E-1,
518.00,1.05256736E-1,
519.00,6.63259923E-2,
520.00,4.11890335E-2,
521.00,2.53939778E-2,
522.00,1.56756174E-2,
523.00,9.04314872E-3,
524.00,4.89347009E-3,
525.00,2.02949485E-3,
526.00,-3.87435975E-5,
527.00,-1.28753786E-3,
528.00,-2.16043694E-3,
529.00,-2.37870263E-3,
530.00,-3.08615528E-3,
531.00,-3.60847730E-3,
532.00,-3.99639457E-3,
533.00,-4.37555974E-3,
534.00,-4.42006020E-3,
535.00,-4.69048601E-3,
536.00,-4.85322159E-3,
537.00,-4.91917087E-3,
538.00,-5.06566884E-3,
539.00,-5.20974118E-3,
540.00,-5.33604156E-3,
541.00,-5.09560807E-3,
542.00,-5.16260276E-3,
543.00,-5.46405325E-3,
544.00,-5.16304653E-3,
545.00,-5.47021534E-3,
546.00,-5.71949920E-3,
547.00,-5.95844211E-3,
548.00,-5.94061241E-3,
549.00,-6.10454055E-3,
550.00,-6.39474951E-3,
551.00,-6.51229406E-3,
552.00,-6.37008436E-3,
553.00,-6.36665011E-3,
554.00,-6.48933975E-3,
555.00,-6.48071012E-3,
556.00,-6.40727114E-3,
557.00,-6.43733097E-3,
558.00,-6.50656782E-3,
559.00,-6.81462465E-3,
560.00,-6.79911207E-3,
561.00,-6.94424286E-3,
562.00,-6.89968560E-3,
563.00,-6.85844244E-3,
564.00,-6.81706378E-3,
565.00,-6.97574019E-3,
566.00,-7.16590928E-3,
567.00,-7.09668687E-3,
568.00,-6.80128299E-3,
569.00,-6.77660014E-3,
570.00,-6.96633663E-3,
571.00,-7.20366789E-3,
572.00,-7.07120681E-3,
573.00,-6.88923104E-3,
574.00,-6.87969662E-3,
575.00,-7.11881137E-3,
576.00,-7.16181053E-3,
577.00,-6.92019472E-3,
578.00,-7.05130259E-3,
579.00,-7.06288125E-3,
580.00,-7.00018648E-3,
581.00,-7.18163513E-3,
582.00,-7.16411974E-3,
583.00,-7.39968708E-3,
584.00,-7.35601597E-3,
585.00,-7.43505266E-3,
586.00,-7.27460161E-3,
587.00,-7.06157368E-3,
588.00,-6.87464839E-3,
589.00,-6.99790567E-3,
590.00,-7.18778698E-3,
591.00,-7.26883393E-3,
592.00,-7.13197049E-3,
593.00,-7.18286494E-3,
594.00,-7.01298844E-3,
595.00,-7.09105562E-3,
596.00,-7.23468792E-3,
597.00,-7.27538904E-3,
598.00,-7.46806944E-3,
599.00,-7.54669169E-3,
600.00,-7.46235531E-3,
601.00,-7.59366388E-3,
602.00,-7.48957088E-3,
603.00,-7.21356692E-3,
604.00,-7.62633933E-3,
605.00,-7.72438664E-3,
606.00,-7.44529208E-3,
607.00,-7.62214465E-3,
608.00,-7.47064687E-3,
609.00,-7.54705351E-3,
610.00,-7.71995261E-3,
611.00,-7.75682414E-3,
612.00,-7.68019632E-3,
613.00,-7.75856012E-3,
614.00,-7.79572735E-3,
615.00,-7.69249536E-3,
616.00,-7.64892576E-3,
617.00,-7.54397875E-3,
618.00,-7.45470170E-3,
619.00,-7.31429458E-3,
620.00,-7.44941505E-3,
621.00,-7.38863135E-3,
622.00,-7.22037395E-3,
623.00,-7.62434211E-3,
624.00,-7.95131177E-3,
625.00,-7.84403179E-3,
626.00,-7.76966987E-3,
627.00,-7.67167285E-3,
628.00,-7.86674861E-3,
629.00,-7.87632540E-3,
630.00,-7.59849139E-3,
631.00,-7.44086225E-3,
632.00,-7.41391862E-3,
633.00,-7.60557875E-3,
634.00,-7.93174841E-3,
635.00,-7.93948397E-3,
636.00,-7.81320222E-3,
637.00,-7.76009727E-3,
638.00,-7.91182835E-3,
639.00,-8.03758577E-3,
640.00,-7.77170807E-3,
641.00,-7.11053470E-3,
642.00,-7.82255735E-3,
643.00,-7.80000864E-3,
644.00,-7.50333350E-3,
645.00,-7.59676192E-3,
646.00,-7.85284769E-3,
647.00,-8.08363501E-3,
648.00,-7.72565464E-3,
649.00,-7.94475432E-3,
650.00,-8.11522920E-3,
651.00,-8.30182992E-3,
652.00,-8.31581373E-3,
653.00,-8.02783854E-3,
654.00,-7.98554160E-3,
655.00,-7.83421751E-3,
656.00,-8.14903527E-3,
657.00,-7.82648660E-3,
658.00,-7.87859876E-3,
659.00,-8.30956455E-3,
660.00,-8.36178660E-3,
661.00,-8.28456227E-3,
662.00,-8.22949130E-3,
663.00,-8.08930490E-3,
664.00,-8.12553801E-3,
665.00,-7.91157875E-3,
666.00,-8.03576037E-3,
667.00,-8.13706592E-3,
668.00,-7.95521215E-3,
669.00,-7.84661900E-3,
670.00,-7.50787882E-3,
671.00,-7.71902874E-3,
672.00,-7.77199119E-3,
673.00,-7.70915719E-3,
674.00,-7.98150804E-3,
675.00,-8.11999105E-3,
676.00,-8.15288629E-3,
677.00,-8.16904940E-3,
678.00,-8.31117295E-3,
679.00,-7.99586624E-3,
680.00,-7.77227571E-3,
681.00,-7.72312377E-3,
682.00,-8.24754871E-3,
683.00,-7.87201896E-3,
