Labels,CdSe_NPL_250722  Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,9.35016394E-1,
510.00,1.02919209E+0,
511.00,1.08450377E+0,
512.00,1.04729450E+0,
513.00,8.76238108E-1,
514.00,6.59070551E-1,
515.00,4.30673987E-1,
516.00,2.63679892E-1,
517.00,1.49551809E-1,
518.00,8.00590143E-2,
519.00,3.50434408E-2,
520.00,8.20168108E-3,
521.00,-8.91649071E-3,
522.00,-1.96604207E-2,
523.00,-2.74088681E-2,
524.00,-3.20723429E-2,
525.00,-3.50952260E-2,
526.00,-3.79382558E-2,
527.00,-3.88620198E-2,
528.00,-3.98308486E-2,
529.00,-4.02482674E-2,
530.00,-4.09973562E-2,
531.00,-4.13222574E-2,
532.00,-4.14631255E-2,
533.00,-4.19707149E-2,
534.00,-4.16503288E-2,
535.00,-4.21371870E-2,
536.00,-4.21756096E-2,
537.00,-4.24269810E-2,
538.00,-4.27543186E-2,
539.00,-4.25405651E-2,
540.00,-4.23154049E-2,
541.00,-4.20244113E-2,
542.00,-4.22882475E-2,
543.00,-4.21413556E-2,
544.00,-4.23613377E-2,
545.00,-4.20659930E-2,
546.00,-4.29095179E-2,
547.00,-4.27298471E-2,
548.00,-4.28692587E-2,
549.00,-4.02127244E-2,
550.00,-4.04637642E-2,
551.00,-4.23944145E-2,
552.00,-4.24995013E-2,
553.00,-4.34766710E-2,
554.00,-4.37196307E-2,
555.00,-4.39112000E-2,
556.00,-4.39345017E-2,
557.00,-4.31917645E-2,
558.00,-4.33085896E-2,
559.00,-4.35558558E-2,
560.00,-4.32575941E-2,
561.00,-4.41805124E-2,
562.00,-4.35001738E-2,
563.00,-4.36473861E-2,
564.00,-4.35804836E-2,
565.00,-4.35182750E-2,
566.00,-4.37068194E-2,
567.00,-4.14430760E-2,
568.00,-4.06921059E-2,
569.00,-4.20449823E-2,
570.00,-4.26550470E-2,
571.00,-4.35731336E-2,
572.00,-4.28926349E-2,
573.00,-4.38008010E-2,
574.00,-4.34044003E-2,
575.00,-4.44212332E-2,
576.00,-4.47726436E-2,
577.00,-4.46374640E-2,
578.00,-4.47997637E-2,
579.00,-4.35133502E-2,
580.00,-4.37417366E-2,
581.00,-4.32499647E-2,
582.00,-4.34175730E-2,
583.00,-4.30238247E-2,
584.00,-4.32851650E-2,
585.00,-4.38006297E-2,
586.00,-4.38389368E-2,
587.00,-4.44676653E-2,
588.00,-4.56513539E-2,
589.00,-4.45942134E-2,
590.00,-4.41698804E-2,
591.00,-4.43038791E-2,
592.00,-4.38564718E-2,
593.00,-4.33978662E-2,
594.00,-4.32490744E-2,
595.00,-4.35185991E-2,
596.00,-4.34992313E-2,
597.00,-4.35950793E-2,
598.00,-4.39028777E-2,
599.00,-4.37769666E-2,
600.00,-4.40660417E-2,
601.00,-4.37688120E-2,
602.00,-4.38473858E-2,
603.00,-4.38362285E-2,
604.00,-4.32888158E-2,
605.00,-4.30644006E-2,
606.00,-4.39507365E-2,
607.00,-4.41149175E-2,
608.00,-4.39567231E-2,
609.00,-4.31185067E-2,
610.00,-4.33570892E-2,
611.00,-4.40056287E-2,
612.00,-4.36014310E-2,
613.00,-4.34244797E-2,
614.00,-4.35039923E-2,
615.00,-4.36387435E-2,
616.00,-4.31957319E-2,
617.00,-4.39079739E-2,
618.00,-4.33879383E-2,
619.00,-4.34660614E-2,
620.00,-4.29872200E-2,
621.00,-4.32421789E-2,
622.00,-4.34128642E-2,
623.00,-4.31801304E-2,
624.00,-4.32988517E-2,
625.00,-4.37504575E-2,
626.00,-4.33719233E-2,
627.00,-4.32288684E-2,
628.00,-4.27287966E-2,
629.00,-4.36741263E-2,
630.00,-4.36398573E-2,
631.00,-4.34655882E-2,
632.00,-4.36587669E-2,
633.00,-4.31289785E-2,
634.00,-4.28312682E-2,
635.00,-4.27612774E-2,
636.00,-4.31550704E-2,
637.00,-4.27530035E-2,
638.00,-4.26740199E-2,
639.00,-4.32788283E-2,
640.00,-4.24208492E-2,
641.00,-4.29434739E-2,
642.00,-4.39147912E-2,
643.00,-4.47109677E-2,
644.00,-4.49637882E-2,
645.00,-4.43939678E-2,
646.00,-4.43877876E-2,
647.00,-4.41351943E-2,
648.00,-4.40668128E-2,
649.00,-4.41611223E-2,
650.00,-4.39009741E-2,
651.00,-4.41142470E-2,
652.00,-4.37148251E-2,
653.00,-4.34850268E-2,
654.00,-4.34912406E-2,
655.00,-4.34823893E-2,
656.00,-4.40058596E-2,
657.00,-4.45144884E-2,
658.00,-4.49966229E-2,
659.00,-4.41820212E-2,
660.00,-4.50402685E-2,
661.00,-4.47096489E-2,
662.00,-4.33911122E-2,
663.00,-4.43724766E-2,
664.00,-4.43408191E-2,
665.00,-4.33622487E-2,
666.00,-4.40305211E-2,
667.00,-4.44037169E-2,
668.00,-4.43013571E-2,
669.00,-4.46290560E-2,
670.00,-4.49927859E-2,
671.00,-4.52180356E-2,
672.00,-4.38015237E-2,
673.00,-4.32376489E-2,
674.00,-4.37585190E-2,
675.00,-4.44157980E-2,
676.00,-4.47502211E-2,
677.00,-4.42904457E-2,
678.00,-4.42831889E-2,
679.00,-4.42564562E-2,
680.00,-4.53559123E-2,
681.00,-4.49368246E-2,
682.00,-4.51501347E-2,
683.00,-4.53319885E-2,
684.00,-4.55578193E-2,
685.00,-4.54292037E-2,
686.00,-4.50072251E-2,
687.00,-4.47002687E-2,
688.00,-4.48644459E-2,
689.00,-4.43337075E-2,
690.00,-4.37059887E-2,
691.00,-4.34237868E-2,
692.00,-4.34893668E-2,
693.00,-4.41330746E-2,
694.00,-4.34305146E-2,
695.00,-4.41461466E-2,
696.00,-4.36785147E-2,
697.00,-4.35658395E-2,
698.00,-4.29566503E-2,
699.00,-4.39521894E-2,
700.00,-4.40630876E-2,
