Labels,CdSe_23082022(19,
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,False,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

510.00,1.50907612E+0,
511.00,1.60923862E+0,
512.00,1.61588144E+0,
513.00,1.42215574E+0,
514.00,1.11198735E+0,
515.00,7.62224555E-1,
516.00,4.84851629E-1,
517.00,2.81608701E-1,
518.00,1.53425306E-1,
519.00,7.25082159E-2,
520.00,2.27016024E-2,
521.00,-9.28262901E-3,
522.00,-2.92254407E-2,
523.00,-4.23462242E-2,
524.00,-5.05472720E-2,
525.00,-5.52139506E-2,
526.00,-5.94759025E-2,
527.00,-6.29743487E-2,
528.00,-6.27816841E-2,
529.00,-6.35494217E-2,
530.00,-6.51212260E-2,
531.00,-6.61003292E-2,
532.00,-6.51319325E-2,
533.00,-6.39707372E-2,
534.00,-6.49845973E-2,
535.00,-6.57449886E-2,
536.00,-6.46765605E-2,
537.00,-6.50157332E-2,
538.00,-6.48179352E-2,
539.00,-6.56097382E-2,
540.00,-6.49101511E-2,
541.00,-6.35635033E-2,
542.00,-6.37638420E-2,
543.00,-6.43348023E-2,
544.00,-6.33549988E-2,
545.00,-6.32923171E-2,
546.00,-6.27503321E-2,
547.00,-6.34653419E-2,
548.00,-6.26468062E-2,
549.00,-6.22229278E-2,
550.00,-6.19642511E-2,
551.00,-6.25325516E-2,
552.00,-6.23991601E-2,
553.00,-6.18200153E-2,
554.00,-6.08241074E-2,
555.00,-6.10560440E-2,
556.00,-6.12897612E-2,
557.00,-6.07588738E-2,
558.00,-5.96020706E-2,
559.00,-6.01675846E-2,
560.00,-6.06250167E-2,
561.00,-5.98272011E-2,
562.00,-5.93167543E-2,
563.00,-5.94990999E-2,
564.00,-6.01073653E-2,
565.00,-5.96861206E-2,
566.00,-5.92473000E-2,
567.00,-5.92332557E-2,
568.00,-5.97738214E-2,
569.00,-5.94143383E-2,
570.00,-5.85003830E-2,
571.00,-5.81236929E-2,
572.00,-5.82233854E-2,
573.00,-5.86217679E-2,
574.00,-5.82410507E-2,
575.00,-5.79919480E-2,
576.00,-5.76747544E-2,
577.00,-5.76067641E-2,
578.00,-5.69848493E-2,
579.00,-5.68317883E-2,
580.00,-5.68623096E-2,
581.00,-5.68598509E-2,
582.00,-5.62836900E-2,
583.00,-5.53013422E-2,
584.00,-5.52954562E-2,
585.00,-5.53057566E-2,
586.00,-5.55009954E-2,
587.00,-5.50638177E-2,
588.00,-5.41561432E-2,
589.00,-5.37744574E-2,
