Labels,CdSe-CdZnS_26082022 Emission,
Type,Emission Scan,
Comment,Range = [550.00 - 700.00] nm; Peak at 622.00 nm; FWHM = 22.06 nm; Color Coordinates (CIE 1931): x = 0.6854 y = 0.3145,
Start,380.00,
Stop,750.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

582.00,1.16627920E+4,
583.00,1.18524893E+4,
584.00,1.48319922E+4,
585.00,1.63295049E+4,
586.00,1.28451484E+4,
587.00,1.84326621E+4,
588.00,2.08585684E+4,
589.00,2.18851992E+4,
590.00,2.33258223E+4,
591.00,2.78914980E+4,
592.00,3.29053984E+4,
593.00,3.77278945E+4,
594.00,4.08773242E+4,
595.00,4.98044102E+4,
596.00,5.59805078E+4,
597.00,5.90769336E+4,
598.00,7.20015000E+4,
599.00,8.36065234E+4,
600.00,1.04872625E+5,
601.00,1.25387563E+5,
602.00,1.29572320E+5,
603.00,1.57608000E+5,
604.00,1.85955609E+5,
605.00,2.31271688E+5,
606.00,2.67635188E+5,
607.00,3.23338406E+5,
608.00,3.47193594E+5,
609.00,4.11860719E+5,
610.00,4.61481875E+5,
611.00,5.54783250E+5,
612.00,6.16510500E+5,
613.00,6.83691000E+5,
614.00,7.81622000E+5,
615.00,8.46364188E+5,
616.00,9.28286313E+5,
617.00,1.00607713E+6,
618.00,1.10890700E+6,
619.00,1.13961438E+6,
620.00,1.20184038E+6,
621.00,1.21488200E+6,
622.00,1.22329388E+6,
623.00,1.21113863E+6,
624.00,1.21509000E+6,
625.00,1.15089175E+6,
626.00,1.11044588E+6,
627.00,1.04716325E+6,
628.00,9.74428875E+5,
629.00,9.27878875E+5,
630.00,8.66760813E+5,
631.00,7.86129875E+5,
632.00,7.26013375E+5,
633.00,6.63092063E+5,
634.00,6.11533375E+5,
635.00,5.53256500E+5,
636.00,5.12079063E+5,
637.00,4.41837563E+5,
638.00,4.13385781E+5,
639.00,3.64438375E+5,
640.00,3.40308406E+5,
641.00,3.11176375E+5,
642.00,2.80310719E+5,
643.00,2.49363563E+5,
644.00,2.42359266E+5,
645.00,2.09428391E+5,
646.00,1.82161078E+5,
647.00,1.70720703E+5,
648.00,1.58739734E+5,
649.00,1.43097500E+5,
650.00,1.39760250E+5,
651.00,1.18029406E+5,
652.00,1.10737719E+5,
653.00,9.56271875E+4,
654.00,9.75530078E+4,
655.00,7.90984297E+4,
656.00,7.88523359E+4,
657.00,6.99410391E+4,
658.00,6.76888984E+4,
659.00,5.79510078E+4,
