Labels,EmScan1,
Type,Emission Scan,
Comment,Range = [475.00 - 550.00] nm; Peak at 514.00 nm; FWHM = 9.32 nm; Color Coordinates (CIE 1931): x = 0.0472 y = 0.7765,
Start,380.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.49984244,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,0.49984244,
Detector,Detector 1,

584.00,1.29717944E+3,
585.00,8.71898987E+2,
586.00,1.31944580E+3,
587.00,9.75384277E+2,
588.00,6.25339111E+2,
589.00,9.90454346E+2,
590.00,7.25998413E+2,
591.00,1.46338306E+3,
592.00,1.84477380E+3,
593.00,1.30178015E+3,
594.00,8.43124146E+2,
595.00,6.61197083E+2,
596.00,1.14238953E+3,
597.00,1.72686096E+3,
598.00,1.83814563E+3,
599.00,1.56090076E+3,
600.00,1.27909399E+3,
601.00,4.96656311E+2,
602.00,2.10491309E+3,
603.00,1.82147009E+3,
604.00,1.22602869E+3,
605.00,7.20967834E+2,
606.00,1.35189734E+3,
607.00,1.57534998E+3,
608.00,6.36086609E+2,
609.00,7.48710266E+2,
610.00,1.94452698E+3,
611.00,1.09075500E+3,
612.00,1.43041833E+3,
613.00,3.33408295E+2,
614.00,7.86070557E+2,
615.00,2.04312439E+3,
616.00,8.03186401E+2,
617.00,2.31961719E+3,
618.00,1.17238489E+3,
619.00,1.06592151E+3,
620.00,1.43575635E+3,
621.00,4.84019806E+2,
622.00,9.78477295E+2,
623.00,2.59695605E+3,
624.00,6.24458313E+2,
625.00,1.26246178E+2,
626.00,1.14893091E+3,
627.00,2.83988403E+3,
628.00,9.13612183E+2,
629.00,1.18856409E+3,
630.00,1.86965503E+3,
631.00,8.11319275E+2,
632.00,2.46335205E+3,
633.00,1.10801758E+3,
634.00,3.22340234E+3,
635.00,1.41943640E+3,
636.00,4.59989697E+3,
637.00,1.01931195E+3,
638.00,1.17943787E+3,
639.00,1.19362219E+3,
640.00,1.20881555E+3,
641.00,2.75178223E+3,
642.00,1.07981470E+3,
643.00,2.64231812E+3,
644.00,1.56771423E+2,
645.00,1.89763623E+3,
646.00,1.11754675E+3,
647.00,4.83023712E+2,
648.00,1.95050452E+3,
649.00,2.13034302E+3,
650.00,1.15804724E+3,
651.00,2.50552100E+3,
652.00,2.02270667E+3,
653.00,2.04343054E+3,
654.00,1.89106592E+3,
655.00,1.73566818E+2,
656.00,2.45279224E+3,
657.00,2.12284521E+3,
658.00,1.07248547E+3,
659.00,1.80643875E+2,
660.00,5.47601624E+2,
661.00,1.10640735E+3,
662.00,3.72795990E+2,
663.00,5.64869507E+2,
664.00,1.33265613E+3,
665.00,2.11758203E+3,
666.00,1.36298547E+3,
667.00,2.16544263E+3,
668.00,2.39123364E+3,
669.00,2.62264380E+3,
670.00,6.12504395E+2,
671.00,4.13451965E+2,
672.00,2.71710352E+3,
673.00,6.35043457E+2,
674.00,0.00000000E+0,
675.00,1.95324304E+3,
676.00,5.93173779E+3,
677.00,2.66726880E+3,
678.00,2.47388403E+3,
679.00,1.59344910E+3,
680.00,2.10807495E+3,
681.00,-2.36546600E+2,
682.00,2.39169510E+2,
683.00,2.42078445E+2,
684.00,1.95928882E+3,
685.00,1.48730054E+3,
686.00,1.50706238E+3,
687.00,2.03552637E+3,
688.00,3.09317578E+3,
689.00,1.04434204E+3,
690.00,1.32141370E+3,
691.00,-8.03105591E+2,
692.00,3.79787012E+3,
693.00,1.09987817E+3,
694.00,1.11549146E+3,
695.00,1.69676807E+3,
696.00,-5.72986145E+2,
697.00,1.45197510E+3,
698.00,3.53610620E+3,
699.00,1.19491101E+3,
700.00,1.21137305E+3,
