Labels,050922_CdSeCdZnS_Shell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,3.55112664E-2,
510.00,3.54737267E-2,
511.00,3.52738947E-2,
512.00,3.49556766E-2,
513.00,3.46684158E-2,
514.00,3.45474631E-2,
515.00,3.49006802E-2,
516.00,3.45894992E-2,
517.00,3.41928191E-2,
518.00,3.54123972E-2,
519.00,3.45348343E-2,
520.00,3.45988385E-2,
521.00,3.48022506E-2,
522.00,3.51980142E-2,
523.00,3.51688825E-2,
524.00,3.51552963E-2,
525.00,3.46514806E-2,
526.00,3.50915603E-2,
527.00,3.46693546E-2,
528.00,3.48163508E-2,
529.00,3.56663838E-2,
530.00,3.50997299E-2,
531.00,3.46327350E-2,
532.00,3.50083783E-2,
533.00,3.52050550E-2,
534.00,3.45217250E-2,
535.00,3.43879946E-2,
536.00,3.47705670E-2,
537.00,3.48330624E-2,
538.00,3.48092914E-2,
539.00,3.41821089E-2,
540.00,3.57378386E-2,
541.00,3.58128361E-2,
542.00,3.58010791E-2,
543.00,3.68931182E-2,
544.00,3.71455885E-2,
545.00,3.75426300E-2,
546.00,3.79678980E-2,
547.00,3.83960381E-2,
548.00,3.96987386E-2,
549.00,4.02654335E-2,
550.00,4.10545878E-2,
551.00,4.18811329E-2,
552.00,4.23921384E-2,
553.00,4.25522178E-2,
554.00,4.42988612E-2,
555.00,4.51307781E-2,
556.00,4.59117368E-2,
557.00,4.63522524E-2,
558.00,4.62164581E-2,
559.00,4.64267433E-2,
560.00,4.75317687E-2,
561.00,4.83053550E-2,
562.00,4.84553650E-2,
563.00,4.82538417E-2,
564.00,4.77488749E-2,
565.00,4.75096591E-2,
566.00,4.81277853E-2,
567.00,4.68746535E-2,
568.00,4.58175167E-2,
569.00,4.43179421E-2,
570.00,4.21110727E-2,
