Labels,ZnSe_01092022_1st Prep Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

459.00,3.76851559E-1,
460.00,3.73357564E-1,
461.00,3.72922719E-1,
462.00,3.73768955E-1,
463.00,3.70973527E-1,
464.00,3.65349382E-1,
465.00,3.55608284E-1,
466.00,3.58400494E-1,
467.00,3.65298837E-1,
468.00,3.61622274E-1,
469.00,3.56266141E-1,
470.00,3.51184040E-1,
471.00,3.49505216E-1,
472.00,3.45471412E-1,
473.00,3.43551546E-1,
474.00,3.44179243E-1,
475.00,3.37871850E-1,
476.00,3.35413694E-1,
477.00,3.33259106E-1,
478.00,3.29433918E-1,
479.00,3.27865243E-1,
480.00,3.29457223E-1,
481.00,3.27098161E-1,
482.00,3.24657679E-1,
483.00,3.23057204E-1,
484.00,3.21032315E-1,
485.00,3.19184184E-1,
486.00,3.15579176E-1,
487.00,3.13899577E-1,
488.00,3.12283844E-1,
489.00,3.09398204E-1,
490.00,3.04198444E-1,
491.00,3.06667030E-1,
492.00,3.07940632E-1,
493.00,3.04500669E-1,
494.00,3.01101506E-1,
495.00,2.98986882E-1,
496.00,2.96874136E-1,
497.00,2.94629097E-1,
498.00,2.94881493E-1,
499.00,2.93287843E-1,
500.00,2.90996134E-1,
