Labels,050922-45dk Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

503.00,-1.15859024E-2,
504.00,-1.05621088E-2,
505.00,-1.16128232E-2,
506.00,-1.16835069E-2,
507.00,-1.12917945E-2,
508.00,-1.02628972E-2,
509.00,-1.06805088E-2,
510.00,-1.22248027E-2,
511.00,-1.19095659E-2,
512.00,-1.07257264E-2,
513.00,-1.14548821E-2,
514.00,-1.24404486E-2,
515.00,-1.26170451E-2,
516.00,-1.18010929E-2,
517.00,-1.10295117E-2,
518.00,-1.20892553E-2,
519.00,-1.27420602E-2,
520.00,-1.21927951E-2,
521.00,-1.17438463E-2,
522.00,-1.29312519E-2,
523.00,-1.34172207E-2,
524.00,-1.41841909E-2,
525.00,-1.34966876E-2,
526.00,-1.29993483E-2,
527.00,-1.47403693E-2,
528.00,-1.38477981E-2,
529.00,-1.32524930E-2,
530.00,-1.20404381E-2,
531.00,-1.39847258E-2,
532.00,-1.46729723E-2,
533.00,-1.45844277E-2,
534.00,-1.39121972E-2,
535.00,-1.42066935E-2,
536.00,-1.42566925E-2,
537.00,-1.46109378E-2,
538.00,-1.48955332E-2,
539.00,-1.41733820E-2,
540.00,-1.55151784E-2,
541.00,-1.49303079E-2,
542.00,-1.45483604E-2,
543.00,-1.38057759E-2,
544.00,-1.40719786E-2,
545.00,-1.45278312E-2,
546.00,-1.42491003E-2,
547.00,-1.35825174E-2,
548.00,-1.35618877E-2,
549.00,-1.43702356E-2,
550.00,-1.52424881E-2,
551.00,-1.44318296E-2,
552.00,-1.42844208E-2,
553.00,-1.45574221E-2,
554.00,-1.49376728E-2,
555.00,-1.51849743E-2,
556.00,-1.48279946E-2,
557.00,-1.40232416E-2,
558.00,-1.58400070E-2,
559.00,-1.57123841E-2,
560.00,-1.42645948E-2,
561.00,-1.46905407E-2,
562.00,-1.40751032E-2,
563.00,-1.46694602E-2,
564.00,-1.56074101E-2,
