Labels,CdSe 060922-csa Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,5.40336251E-1,
510.00,5.90486407E-1,
511.00,6.38376594E-1,
512.00,6.54655039E-1,
513.00,6.09760940E-1,
514.00,5.22006512E-1,
515.00,3.85542661E-1,
516.00,2.66195148E-1,
517.00,1.72989234E-1,
518.00,1.12346627E-1,
519.00,7.54541084E-2,
520.00,4.98212799E-2,
521.00,3.41528617E-2,
522.00,2.69290470E-2,
523.00,1.94762405E-2,
524.00,1.66155528E-2,
525.00,1.33480094E-2,
526.00,1.08575467E-2,
527.00,7.62704341E-3,
528.00,7.52857327E-3,
529.00,8.59320257E-3,
530.00,7.18734786E-3,
531.00,6.54012570E-3,
532.00,6.62701484E-3,
533.00,6.54620491E-3,
534.00,6.08605333E-3,
535.00,5.46075683E-3,
536.00,7.02295545E-3,
537.00,6.63702795E-3,
538.00,6.77924277E-3,
539.00,5.87924430E-3,
540.00,4.47253464E-3,
541.00,4.02231654E-3,
542.00,3.10463854E-3,
543.00,4.23919596E-3,
544.00,4.10848763E-3,
545.00,3.91227566E-3,
546.00,4.03454062E-3,
547.00,5.95894642E-3,
548.00,3.76349012E-3,
549.00,3.03965691E-3,
550.00,5.62535506E-3,
551.00,4.56540473E-3,
552.00,3.83439870E-3,
553.00,2.71993922E-3,
554.00,3.24968575E-3,
555.00,3.45173851E-3,
556.00,3.41813709E-3,
557.00,2.87547102E-3,
558.00,3.03840102E-3,
559.00,3.15847388E-3,
560.00,3.25940363E-3,
561.00,2.00878084E-3,
562.00,2.88719242E-3,
563.00,3.62357660E-3,
564.00,3.64375510E-3,
565.00,1.80137274E-3,
566.00,1.71151559E-3,
567.00,1.61757390E-3,
568.00,1.74767710E-3,
569.00,2.34696479E-3,
570.00,2.24326062E-3,
571.00,3.91854066E-3,
572.00,2.86843348E-3,
573.00,3.96085298E-3,
574.00,2.14862032E-3,
575.00,2.41891504E-3,
576.00,3.35270725E-3,
577.00,2.89629400E-3,
578.00,2.61530862E-3,
579.00,1.37855741E-3,
580.00,2.41479324E-3,
581.00,1.51703542E-3,
582.00,2.89249234E-3,
583.00,2.78594159E-3,
584.00,2.34209350E-3,
585.00,2.15536542E-3,
586.00,2.00011791E-3,
587.00,2.51586060E-3,
588.00,1.58051937E-3,
589.00,2.76858266E-3,
590.00,3.27614089E-3,
591.00,1.91844429E-3,
592.00,3.49934166E-3,
593.00,2.00746162E-3,
594.00,2.14760471E-3,
595.00,3.31625249E-3,
596.00,2.68735178E-3,
597.00,1.68576685E-3,
598.00,1.67408271E-3,
599.00,6.58709614E-4,
600.00,1.09481800E-3,
