Labels,050922_CdSeCdZnS_Shell3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,1.36604130E-1,
510.00,1.37790352E-1,
511.00,1.38086766E-1,
512.00,1.36407390E-1,
513.00,1.35184288E-1,
514.00,1.34833500E-1,
515.00,1.34620667E-1,
516.00,1.34175941E-1,
517.00,1.33230805E-1,
518.00,1.33453771E-1,
519.00,1.32597670E-1,
520.00,1.32560074E-1,
521.00,1.34295776E-1,
522.00,1.35012433E-1,
523.00,1.33481473E-1,
524.00,1.32878512E-1,
525.00,1.33594364E-1,
526.00,1.34639308E-1,
527.00,1.33605704E-1,
528.00,1.32805467E-1,
529.00,1.34277999E-1,
530.00,1.35102257E-1,
531.00,1.33228108E-1,
532.00,1.33309990E-1,
533.00,1.33168682E-1,
534.00,1.33821726E-1,
535.00,1.34193659E-1,
536.00,1.34572685E-1,
537.00,1.35770977E-1,
538.00,1.35153517E-1,
539.00,1.35043800E-1,
540.00,1.35501280E-1,
541.00,1.36377901E-1,
542.00,1.38750300E-1,
543.00,1.39611915E-1,
544.00,1.40434906E-1,
545.00,1.41229793E-1,
546.00,1.42281443E-1,
547.00,1.44550949E-1,
548.00,1.49058864E-1,
549.00,1.50383189E-1,
550.00,1.52814031E-1,
551.00,1.54964298E-1,
552.00,1.58411607E-1,
553.00,1.60539120E-1,
554.00,1.64143234E-1,
555.00,1.66907758E-1,
556.00,1.69090047E-1,
557.00,1.72840804E-1,
558.00,1.75608456E-1,
559.00,1.77844182E-1,
560.00,1.80177882E-1,
561.00,1.81875095E-1,
562.00,1.82648346E-1,
563.00,1.82273284E-1,
564.00,1.81759655E-1,
565.00,1.81451842E-1,
566.00,1.79568201E-1,
567.00,1.75782293E-1,
568.00,1.71990767E-1,
569.00,1.67745024E-1,
570.00,1.61434293E-1,
571.00,1.57183573E-1,
572.00,1.51789069E-1,
573.00,1.45333901E-1,
574.00,1.39664397E-1,
575.00,1.33586422E-1,
576.00,1.27275705E-1,
577.00,1.22018039E-1,
578.00,1.16583012E-1,
579.00,1.10705420E-1,
580.00,1.05850272E-1,
