Labels,050922-final Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,3.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

510.00,7.16088116E-2,
511.00,7.08130747E-2,
512.00,6.93381876E-2,
513.00,6.96748346E-2,
514.00,7.02456385E-2,
515.00,6.91174343E-2,
516.00,6.78608865E-2,
517.00,6.83423057E-2,
518.00,6.89111724E-2,
519.00,6.80075660E-2,
520.00,6.66174665E-2,
521.00,6.72069043E-2,
522.00,6.75689429E-2,
523.00,6.67533875E-2,
524.00,6.52011037E-2,
525.00,6.57983571E-2,
526.00,6.61323890E-2,
527.00,6.56148791E-2,
528.00,6.40329495E-2,
529.00,6.42836913E-2,
530.00,6.47692308E-2,
531.00,6.44826740E-2,
532.00,6.29151091E-2,
533.00,6.29036278E-2,
534.00,6.33615255E-2,
535.00,6.30430505E-2,
536.00,6.16978556E-2,
537.00,6.20440058E-2,
538.00,6.24073148E-2,
539.00,6.22597747E-2,
540.00,6.06782809E-2,
541.00,6.08023591E-2,
542.00,6.12234920E-2,
543.00,6.10415153E-2,
544.00,5.93648329E-2,
545.00,5.95082492E-2,
546.00,6.00092262E-2,
547.00,5.98706305E-2,
548.00,5.83770312E-2,
549.00,5.82283922E-2,
550.00,5.87913394E-2,
551.00,5.90887070E-2,
552.00,5.76605946E-2,
553.00,5.74180931E-2,
554.00,5.78317791E-2,
555.00,5.81055880E-2,
556.00,5.66196889E-2,
557.00,5.62794171E-2,
558.00,5.65411113E-2,
559.00,5.68427220E-2,
560.00,5.56977913E-2,
561.00,5.50552160E-2,
562.00,5.52894399E-2,
563.00,5.59073389E-2,
564.00,5.50187379E-2,
565.00,5.44620901E-2,
566.00,5.47308773E-2,
567.00,5.52519076E-2,
568.00,5.43397963E-2,
569.00,5.36472872E-2,
570.00,5.39859235E-2,
571.00,5.42421751E-2,
572.00,5.36556393E-2,
573.00,5.25997207E-2,
574.00,5.27547523E-2,
575.00,5.29156886E-2,
576.00,5.27506843E-2,
577.00,5.17398752E-2,
578.00,5.17277569E-2,
579.00,5.19641638E-2,
580.00,5.21649607E-2,
581.00,5.14620692E-2,
582.00,5.18042855E-2,
583.00,5.22841848E-2,
584.00,5.23901321E-2,
585.00,5.15213497E-2,
586.00,5.12885787E-2,
587.00,5.14381006E-2,
588.00,5.17757162E-2,
589.00,5.08567914E-2,
590.00,5.02698757E-2,
591.00,5.01043312E-2,
592.00,5.01272790E-2,
593.00,4.92372960E-2,
594.00,4.84341308E-2,
595.00,4.86317798E-2,
596.00,4.89207879E-2,
597.00,4.85720374E-2,
598.00,4.78461273E-2,
599.00,4.79719825E-2,
600.00,4.81233597E-2,
