Labels,CdSe_NPL_220722 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,2.90971279E-1,
510.00,3.20167691E-1,
511.00,3.45637828E-1,
512.00,3.52207750E-1,
513.00,3.22628617E-1,
514.00,2.60078937E-1,
515.00,1.84646100E-1,
516.00,1.22624934E-1,
517.00,7.62660429E-2,
518.00,4.75800596E-2,
519.00,2.91909669E-2,
520.00,1.82100870E-2,
521.00,1.11787394E-2,
522.00,6.84159296E-3,
523.00,4.00990667E-3,
524.00,2.42169551E-3,
525.00,8.12544371E-4,
526.00,-1.48881561E-4,
527.00,-3.28438822E-4,
528.00,-1.05038739E-3,
529.00,-9.16347024E-4,
530.00,-9.67241533E-4,
531.00,-1.26622641E-3,
532.00,-1.21614791E-3,
533.00,-5.47772448E-4,
534.00,-8.57279578E-4,
535.00,-1.08388846E-3,
536.00,-6.42816070E-4,
537.00,-1.13998912E-3,
538.00,-1.21361983E-3,
539.00,-1.21393159E-3,
540.00,-1.16777141E-3,
541.00,-1.03357632E-3,
542.00,-1.45250594E-3,
543.00,-1.06764585E-3,
544.00,-1.54190953E-3,
545.00,-2.35235831E-3,
546.00,-1.87874492E-3,
547.00,-1.53218082E-3,
548.00,-1.47715898E-3,
549.00,-1.71195401E-3,
550.00,-1.74161280E-3,
551.00,-1.88805873E-3,
552.00,-2.49369931E-3,
553.00,-2.24689767E-3,
554.00,-2.29906291E-3,
555.00,-2.23395415E-3,
556.00,-1.23489473E-3,
557.00,-1.49961468E-3,
558.00,-1.97967398E-3,
559.00,-1.72969233E-3,
560.00,-1.96669786E-3,
561.00,-2.40352005E-3,
562.00,-1.97459641E-3,
563.00,-1.87856599E-3,
564.00,-2.28094542E-3,
565.00,-1.65513088E-3,
566.00,-1.62404275E-3,
567.00,-2.16129329E-3,
568.00,-2.42008804E-3,
569.00,-2.07299786E-3,
570.00,-1.95112976E-3,
571.00,-1.76528073E-3,
572.00,-1.61026185E-3,
573.00,-1.88635988E-3,
574.00,-1.88918482E-3,
575.00,-1.60774356E-3,
576.00,-1.84105919E-3,
577.00,-1.86788209E-3,
578.00,-2.20781378E-3,
579.00,-2.34116218E-3,
580.00,-2.10410310E-3,
581.00,-1.78341742E-3,
582.00,-2.04199250E-3,
583.00,-1.89132371E-3,
584.00,-1.74785999E-3,
585.00,-2.07537971E-3,
586.00,-2.00065435E-3,
587.00,-1.63489406E-3,
588.00,-1.92405551E-3,
589.00,-2.09189509E-3,
590.00,-1.76362018E-3,
591.00,-2.20600888E-3,
592.00,-2.23539094E-3,
593.00,-1.98762049E-3,
594.00,-2.14138767E-3,
595.00,-1.48569501E-3,
596.00,-1.76230154E-3,
597.00,-1.96024380E-3,
598.00,-2.20106076E-3,
599.00,-1.86871982E-3,
600.00,-2.05396023E-3,
601.00,-1.88248721E-3,
602.00,-1.99538865E-3,
603.00,-2.66866549E-3,
604.00,-2.46445276E-3,
605.00,-2.25753593E-3,
606.00,-2.33643176E-3,
607.00,-2.25917995E-3,
608.00,-1.75217516E-3,
609.00,-1.17543328E-3,
610.00,-1.56457257E-3,
611.00,-1.51751947E-3,
612.00,-2.20172852E-3,
613.00,-1.97484088E-3,
614.00,-1.74237706E-3,
615.00,-1.93387887E-3,
616.00,-1.84793677E-3,
617.00,-2.31964211E-3,
618.00,-2.53453036E-3,
619.00,-2.51627248E-3,
620.00,-2.40166741E-3,
621.00,-1.91973452E-3,
622.00,-2.53335899E-3,
623.00,-2.51422287E-3,
624.00,-2.07682652E-3,
625.00,-1.52757950E-3,
626.00,-2.10723630E-3,
627.00,-2.09673122E-3,
628.00,-2.38248985E-3,
629.00,-2.64062919E-3,
630.00,-2.91531533E-3,
631.00,-3.11685912E-3,
632.00,-2.74196756E-3,
633.00,-3.07934592E-3,
634.00,-3.10097635E-3,
635.00,-3.07059917E-3,
636.00,-3.61369876E-3,
637.00,-2.09359801E-3,
638.00,-1.68359047E-3,
639.00,-2.47083185E-3,
640.00,-2.62241368E-3,
641.00,-2.17997259E-3,
