Labels,ZnSe-020922 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,250.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,2.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

454.00,-1.42718079E-2,
455.00,-1.34824701E-2,
456.00,-1.41641460E-2,
457.00,-1.32043008E-2,
458.00,-1.44058922E-2,
459.00,-1.41629511E-2,
460.00,-1.28467316E-2,
461.00,-1.50255812E-2,
462.00,-1.36175258E-2,
463.00,-1.11009069E-2,
464.00,-1.26563692E-2,
465.00,-1.56089431E-2,
466.00,-1.36653818E-2,
467.00,-1.21648479E-2,
468.00,-1.35681024E-2,
469.00,-1.51492944E-2,
470.00,-1.40858982E-2,
471.00,-1.56447645E-2,
472.00,-1.78055167E-2,
473.00,-1.61859971E-2,
474.00,-1.60852447E-2,
475.00,-1.54669676E-2,
476.00,-1.56382825E-2,
477.00,-1.63095854E-2,
478.00,-1.57479402E-2,
479.00,-1.47092501E-2,
480.00,-1.50961764E-2,
481.00,-1.63518284E-2,
482.00,-1.64341535E-2,
483.00,-1.54301170E-2,
484.00,-1.63675100E-2,
485.00,-1.68553051E-2,
486.00,-1.69688463E-2,
487.00,-1.67600755E-2,
488.00,-1.52086299E-2,
489.00,-1.71789434E-2,
490.00,-1.81203112E-2,
491.00,-1.61819495E-2,
492.00,-1.59281138E-2,
493.00,-1.67558193E-2,
494.00,-1.65489148E-2,
495.00,-1.62003562E-2,
496.00,-1.82487499E-2,
497.00,-1.80706512E-2,
498.00,-1.67500954E-2,
499.00,-1.61709785E-2,
500.00,-1.81910731E-2,
