Labels,CdSe_NPL_220722_PL,
Type,Emission Scan,
Comment,Range = [480.00 - 550.00] nm; Peak at 514.00 nm; FWHM = 8.45 nm; Color Coordinates (CIE 1931): x = 0.0444 y = 0.7750,
Start,380.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,350.00,
Xaxis,Wavelength,
Yaxis,Counts,
Scan Corr. by File,True,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,False,
Repeats,1,
Dwell Time,0.10,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,None,
Fixed/Offset Slit,1.00,
Detector,Detector 1,

584.00,1.33715686E+3,
585.00,1.29825281E+3,
586.00,1.17506055E+3,
587.00,9.30244324E+2,
588.00,1.24370593E+3,
589.00,1.39065649E+3,
590.00,1.28072144E+3,
591.00,1.22134863E+3,
592.00,1.40738269E+3,
593.00,1.20512708E+3,
594.00,1.44672144E+3,
595.00,1.08081445E+3,
596.00,9.80568604E+2,
597.00,1.06107959E+3,
598.00,1.18139233E+3,
599.00,1.37744702E+3,
600.00,1.27561304E+3,
601.00,1.45848352E+3,
602.00,1.30034705E+3,
603.00,1.75439087E+3,
604.00,1.61399182E+3,
605.00,1.35358838E+3,
606.00,1.42745715E+3,
607.00,1.46074939E+3,
608.00,1.37274011E+3,
609.00,1.73158484E+3,
610.00,1.39869385E+3,
611.00,1.26870691E+3,
612.00,1.51098914E+3,
613.00,1.41920215E+3,
614.00,1.73415991E+3,
615.00,1.42853577E+3,
616.00,1.50999854E+3,
617.00,1.70559705E+3,
618.00,2.01145898E+3,
619.00,2.07942188E+3,
620.00,1.53076746E+3,
621.00,1.84903284E+3,
622.00,1.61042236E+3,
623.00,1.76740759E+3,
624.00,1.83525427E+3,
625.00,2.02361316E+3,
626.00,1.80178284E+3,
627.00,2.19122656E+3,
628.00,2.09286719E+3,
629.00,2.29030688E+3,
630.00,1.83483020E+3,
631.00,2.45170532E+3,
632.00,2.00863538E+3,
633.00,2.24578906E+3,
634.00,2.56786499E+3,
635.00,1.97862622E+3,
636.00,2.60384277E+3,
637.00,2.33562622E+3,
638.00,2.50352979E+3,
639.00,2.70503320E+3,
640.00,2.44842896E+3,
641.00,2.29976270E+3,
642.00,2.79216992E+3,
643.00,2.10369434E+3,
644.00,2.59792676E+3,
645.00,2.89331982E+3,
646.00,2.12860889E+3,
647.00,2.67123975E+3,
648.00,3.43918945E+3,
649.00,2.62584204E+3,
650.00,2.46225195E+3,
651.00,2.90180859E+3,
652.00,2.38106836E+3,
653.00,2.17681177E+3,
654.00,3.34891064E+3,
655.00,2.45032544E+3,
656.00,2.80904248E+3,
657.00,2.43406372E+3,
658.00,3.75710278E+3,
659.00,3.93273975E+3,
660.00,3.28021680E+3,
661.00,3.83809131E+3,
662.00,2.98569434E+3,
663.00,3.48588306E+3,
664.00,2.61769873E+3,
665.00,2.82857861E+3,
666.00,2.93243970E+3,
667.00,3.87079102E+3,
668.00,2.66253418E+3,
669.00,4.58102588E+3,
670.00,4.47680859E+3,
671.00,4.96683936E+3,
672.00,3.47188110E+3,
673.00,3.91618384E+3,
674.00,4.58252344E+3,
675.00,3.72488599E+3,
676.00,4.94423389E+3,
677.00,3.05200342E+3,
678.00,4.68372266E+3,
679.00,3.64844092E+3,
680.00,3.74759766E+3,
681.00,3.74150366E+3,
682.00,4.00621680E+3,
683.00,4.24460645E+3,
684.00,4.89513916E+3,
685.00,3.40143823E+3,
686.00,3.68482300E+3,
687.00,3.48896704E+3,
688.00,3.87667847E+3,
689.00,2.93112231E+3,
690.00,3.87905835E+3,
691.00,3.31689331E+3,
692.00,3.82694849E+3,
693.00,3.56142432E+3,
694.00,5.26205957E+3,
695.00,4.14976709E+3,
696.00,5.40584570E+3,
697.00,3.93048364E+3,
698.00,5.05109033E+3,
699.00,3.75397827E+3,
700.00,4.04065356E+3,
