Labels,CdSe sample-ue-060922 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,600.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,2.43480220E-1,
510.00,2.56194204E-1,
511.00,2.69381970E-1,
512.00,2.79917389E-1,
513.00,2.82969952E-1,
514.00,2.75172412E-1,
515.00,2.53846198E-1,
516.00,2.23389760E-1,
517.00,1.91169411E-1,
518.00,1.65282369E-1,
519.00,1.46450341E-1,
520.00,1.33761123E-1,
521.00,1.25851482E-1,
522.00,1.19405091E-1,
523.00,1.14458546E-1,
524.00,1.10398322E-1,
525.00,1.07816964E-1,
526.00,1.04727834E-1,
527.00,1.02228388E-1,
528.00,1.01243518E-1,
529.00,1.00679912E-1,
530.00,9.94642228E-2,
531.00,9.81125981E-2,
532.00,9.71746817E-2,
533.00,9.78408754E-2,
534.00,9.76688117E-2,
535.00,9.67676118E-2,
536.00,9.61886868E-2,
537.00,9.53489915E-2,
538.00,9.52943563E-2,
539.00,9.41289216E-2,
540.00,9.40004215E-2,
541.00,9.38529670E-2,
542.00,9.53700393E-2,
543.00,9.54411477E-2,
544.00,9.67180058E-2,
545.00,9.95656252E-2,
546.00,1.02083579E-1,
547.00,1.04702048E-1,
548.00,1.05863765E-1,
549.00,1.07336350E-1,
550.00,1.08972564E-1,
551.00,1.07700489E-1,
552.00,1.05526343E-1,
553.00,1.02623403E-1,
554.00,9.88793895E-2,
555.00,9.60029438E-2,
556.00,9.36208442E-2,
557.00,9.10346508E-2,
558.00,8.89638737E-2,
559.00,8.85312706E-2,
560.00,8.69480073E-2,
561.00,8.63320604E-2,
562.00,8.46160501E-2,
563.00,8.31579193E-2,
564.00,8.19155872E-2,
565.00,8.13594311E-2,
566.00,7.89811239E-2,
567.00,7.85041228E-2,
568.00,7.78628141E-2,
