Labels,CdSe-2508-50mikron-3 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,7.25005567E-1,
510.00,7.98594773E-1,
511.00,8.49673092E-1,
512.00,8.43702316E-1,
513.00,7.41482198E-1,
514.00,5.76840341E-1,
515.00,4.04280901E-1,
516.00,2.67124861E-1,
517.00,1.65368855E-1,
518.00,1.03861764E-1,
519.00,6.55250922E-2,
520.00,4.15485017E-2,
521.00,2.78813057E-2,
522.00,1.94406342E-2,
523.00,1.19119938E-2,
524.00,7.54733011E-3,
525.00,5.12141967E-3,
526.00,3.50739085E-3,
527.00,2.92456592E-3,
528.00,2.54494417E-3,
529.00,1.53773429E-3,
530.00,2.40064081E-4,
531.00,-8.68813135E-4,
532.00,-8.88353796E-4,
533.00,-3.36680387E-4,
534.00,-2.11385952E-4,
535.00,-7.25239224E-4,
536.00,-1.35170692E-3,
537.00,-3.35200275E-5,
538.00,-1.47769490E-4,
539.00,-8.77104234E-4,
540.00,-1.16186694E-3,
541.00,-1.33316393E-3,
542.00,-1.20976008E-3,
543.00,-1.28039496E-3,
544.00,-7.93263782E-4,
545.00,-1.29628903E-3,
546.00,-3.75704461E-4,
547.00,6.64069958E-4,
548.00,-5.58322063E-4,
549.00,-6.11551513E-4,
550.00,-7.80546514E-4,
551.00,-3.94387607E-4,
552.00,-6.81682781E-4,
553.00,-7.48907682E-4,
554.00,-2.94534431E-4,
555.00,-4.61585078E-5,
556.00,-2.82445719E-4,
557.00,1.14145796E-5,
558.00,-9.87955136E-4,
559.00,-8.51865625E-4,
560.00,-1.23440090E-3,
561.00,-1.01010257E-3,
562.00,-1.04705850E-3,
563.00,8.20514862E-4,
564.00,1.58508294E-4,
565.00,-1.39958982E-3,
566.00,-2.26471038E-3,
567.00,-1.76099327E-3,
568.00,-7.18762923E-4,
569.00,-1.29780173E-3,
570.00,-1.72979222E-3,
571.00,-1.40850572E-3,
572.00,-1.07794011E-3,
573.00,-8.76588398E-4,
574.00,-8.56341678E-4,
575.00,-6.48480491E-4,
576.00,-1.11261138E-3,
577.00,-1.08660560E-3,
578.00,-5.10614831E-4,
579.00,-9.14774719E-4,
580.00,3.72129798E-5,
581.00,5.03324554E-4,
582.00,-7.17367569E-4,
583.00,-6.88795117E-4,
584.00,-9.46051965E-4,
585.00,-1.17068074E-3,
586.00,-5.19930327E-4,
587.00,-7.78942544E-4,
588.00,-1.51247869E-3,
589.00,-1.14286598E-3,
590.00,-1.47981243E-3,
591.00,-1.56902883E-3,
592.00,-1.11688056E-3,
593.00,-1.19055447E-3,
594.00,-1.39468617E-3,
595.00,-9.45332111E-4,
596.00,-1.88289792E-3,
597.00,-1.80089509E-3,
598.00,-2.52745999E-3,
599.00,-1.18282286E-3,
600.00,-1.05495495E-3,
601.00,-1.26554933E-3,
602.00,-5.09554229E-4,
603.00,-1.65458710E-3,
604.00,-2.77627236E-3,
605.00,-2.48515909E-3,
606.00,-2.32443865E-3,
607.00,-2.40921951E-3,
608.00,-2.65771733E-3,
609.00,-1.08191872E-3,
610.00,-9.12288087E-4,
611.00,-9.91282868E-4,
612.00,-2.97217368E-4,
613.00,-1.12663466E-3,
614.00,-4.29860316E-4,
615.00,-8.57066014E-4,
616.00,-1.28070300E-3,
617.00,-1.17039669E-3,
618.00,-1.36828271E-3,
619.00,-1.15175778E-3,
620.00,-1.09982328E-3,
621.00,-9.06902307E-4,
622.00,-1.55831524E-3,
623.00,-2.79984344E-3,
624.00,-1.29447947E-3,
625.00,-9.86561878E-4,
626.00,-8.03109200E-4,
627.00,-1.32554793E-3,
628.00,-1.33355102E-3,
629.00,-1.27244252E-3,
630.00,-1.69980538E-3,
631.00,-1.69092929E-3,
632.00,-1.91570038E-3,
633.00,-1.33458117E-3,
634.00,-1.82888890E-3,
635.00,-1.78828510E-3,
636.00,4.44488018E-4,
637.00,1.37580256E-3,
638.00,4.27755149E-4,
639.00,3.46274057E-4,
640.00,5.09469071E-4,
641.00,-1.05951098E-3,
642.00,-5.18871471E-4,
643.00,2.92910727E-6,
644.00,-1.18690787E-3,
645.00,-1.13303156E-3,
646.00,-5.41117159E-4,
647.00,4.18219570E-4,
648.00,-8.78072868E-4,
649.00,-1.50691846E-3,
650.00,-1.25985988E-3,
651.00,-1.54504017E-3,
