Labels,29082022_CoreCdSe Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,9.14262235E-1,
510.00,1.00240707E+0,
511.00,1.05268776E+0,
512.00,1.02247512E+0,
513.00,8.55776727E-1,
514.00,6.40952885E-1,
515.00,4.25795257E-1,
516.00,2.72752553E-1,
517.00,1.66014284E-1,
518.00,1.01161137E-1,
519.00,6.08716570E-2,
520.00,3.66300829E-2,
521.00,2.08303966E-2,
522.00,1.05258133E-2,
523.00,3.71798826E-3,
524.00,-8.42292269E-4,
525.00,-3.36804101E-3,
526.00,-5.74513990E-3,
527.00,-7.33214943E-3,
528.00,-7.94305000E-3,
529.00,-8.27525835E-3,
530.00,-8.12830403E-3,
531.00,-7.72582693E-3,
532.00,-8.14931560E-3,
533.00,-8.04010313E-3,
534.00,-8.09320714E-3,
535.00,-8.50858260E-3,
536.00,-8.77251476E-3,
537.00,-8.65469687E-3,
538.00,-9.14677326E-3,
539.00,-9.08145402E-3,
540.00,-9.53080039E-3,
541.00,-9.29262396E-3,
542.00,-9.19398386E-3,
543.00,-9.46379360E-3,
544.00,-9.62324813E-3,
545.00,-9.81631503E-3,
546.00,-9.84367169E-3,
547.00,-9.81874391E-3,
548.00,-9.76039935E-3,
549.00,-9.32585075E-3,
550.00,-9.96518694E-3,
551.00,-1.02262031E-2,
552.00,-9.96433478E-3,
553.00,-9.80765466E-3,
554.00,-1.01249134E-2,
555.00,-1.00543927E-2,
556.00,-9.99691710E-3,
557.00,-9.79336910E-3,
558.00,-9.95641667E-3,
559.00,-1.00840935E-2,
560.00,-9.80046019E-3,
561.00,-9.89821926E-3,
562.00,-1.00767259E-2,
563.00,-1.02125341E-2,
564.00,-1.06074894E-2,
565.00,-1.06397141E-2,
566.00,-1.03981812E-2,
567.00,-1.00669647E-2,
568.00,-1.04577467E-2,
569.00,-1.03797317E-2,
570.00,-1.04988981E-2,
571.00,-1.02927750E-2,
572.00,-1.03400173E-2,
573.00,-9.86178778E-3,
574.00,-1.01593873E-2,
575.00,-1.04604308E-2,
576.00,-1.01067042E-2,
577.00,-9.67305712E-3,
578.00,-9.66542028E-3,
579.00,-9.82701872E-3,
580.00,-9.80591681E-3,
581.00,-9.66667105E-3,
582.00,-9.73565038E-3,
583.00,-9.85953957E-3,
584.00,-9.31435172E-3,
585.00,-9.17724799E-3,
586.00,-9.18461010E-3,
587.00,-9.34988633E-3,
588.00,-9.60953068E-3,
589.00,-9.52803623E-3,
590.00,-9.45813581E-3,
591.00,-9.47076734E-3,
592.00,-9.74285416E-3,
593.00,-9.71610472E-3,
594.00,-9.93561931E-3,
595.00,-1.00465491E-2,
596.00,-9.26117599E-3,
597.00,-9.48466454E-3,
598.00,-9.59503371E-3,
599.00,-9.77553427E-3,
600.00,-9.90497321E-3,
601.00,-1.00953951E-2,
602.00,-1.01240566E-2,
603.00,-1.00588882E-2,
604.00,-9.62830707E-3,
605.00,-9.15637426E-3,
606.00,-9.50413384E-3,
607.00,-9.63607430E-3,
608.00,-9.55696497E-3,
609.00,-9.36309434E-3,
610.00,-9.06495936E-3,
611.00,-9.32051521E-3,
612.00,-8.43711663E-3,
613.00,-7.50262896E-3,
614.00,-8.03748611E-3,
615.00,-8.32145382E-3,
616.00,-8.39571282E-3,
617.00,-8.17632489E-3,
618.00,-8.75516608E-3,
619.00,-8.19157995E-3,
620.00,-8.21688864E-3,
621.00,-8.29391181E-3,
622.00,-8.44740774E-3,
623.00,-8.07863660E-3,
624.00,-8.59819446E-3,
625.00,-8.59058928E-3,
626.00,-8.53604916E-3,
627.00,-8.03220458E-3,
628.00,-8.58837366E-3,
629.00,-8.39028228E-3,
630.00,-8.66667461E-3,
631.00,-8.35864712E-3,
632.00,-8.34921189E-3,
633.00,-9.07569472E-3,
