Labels,ZnSe_01092022_Diluted Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,200.00,
Stop,500.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

407.00,3.08039337E-2,
408.00,3.06042619E-2,
409.00,3.07499263E-2,
410.00,2.93374099E-2,
411.00,2.89705023E-2,
412.00,2.86118817E-2,
413.00,2.77656782E-2,
414.00,2.77109928E-2,
415.00,2.73102392E-2,
416.00,2.69339792E-2,
417.00,2.64160205E-2,
418.00,2.66124215E-2,
419.00,2.53372323E-2,
420.00,2.49600429E-2,
421.00,2.46786047E-2,
422.00,2.46537924E-2,
423.00,2.40648016E-2,
424.00,2.38703471E-2,
425.00,2.31029876E-2,
426.00,2.24228911E-2,
427.00,2.19356790E-2,
428.00,2.14621928E-2,
429.00,2.06088480E-2,
430.00,2.05837805E-2,
431.00,2.02411227E-2,
432.00,2.00996604E-2,
433.00,1.97683517E-2,
434.00,1.91217065E-2,
435.00,1.90901104E-2,
436.00,1.87920351E-2,
437.00,1.83777511E-2,
438.00,1.81697477E-2,
439.00,1.78678110E-2,
440.00,1.78675763E-2,
441.00,1.75136700E-2,
442.00,1.70407295E-2,
443.00,1.65962037E-2,
444.00,1.64078046E-2,
445.00,1.64550897E-2,
446.00,1.63088869E-2,
447.00,1.53531795E-2,
448.00,1.48033211E-2,
449.00,1.39580211E-2,
450.00,1.43850064E-2,
451.00,1.58563629E-2,
452.00,1.57554448E-2,
453.00,1.44338449E-2,
454.00,1.41796255E-2,
455.00,1.43621257E-2,
456.00,1.43902609E-2,
457.00,1.35323312E-2,
458.00,1.35637047E-2,
459.00,1.33375349E-2,
460.00,1.36431279E-2,
461.00,1.50518278E-2,
462.00,1.23952096E-2,
463.00,1.28167775E-2,
464.00,1.29507426E-2,
465.00,1.32211773E-2,
466.00,1.34589877E-2,
467.00,8.03899020E-3,
468.00,1.21067343E-2,
469.00,1.19003551E-2,
470.00,1.10761728E-2,
471.00,1.04576694E-2,
472.00,1.14343697E-2,
473.00,1.33146914E-2,
474.00,1.14281559E-2,
475.00,1.08376518E-2,
476.00,1.08905621E-2,
477.00,1.07165528E-2,
478.00,1.08449189E-2,
479.00,1.01720151E-2,
480.00,1.23329321E-2,
481.00,1.12611661E-2,
482.00,9.99965519E-3,
483.00,9.65557899E-3,
484.00,9.06509440E-3,
485.00,9.11862589E-3,
486.00,9.07829031E-3,
487.00,8.99592694E-3,
488.00,8.56478326E-3,
489.00,8.99511855E-3,
490.00,5.22967102E-3,
491.00,1.21204434E-2,
492.00,9.44164768E-3,
493.00,8.35797843E-3,
494.00,8.23377166E-3,
495.00,8.37616902E-3,
496.00,8.10603984E-3,
497.00,7.95123633E-3,
498.00,7.62039283E-3,
499.00,7.27008330E-3,
500.00,7.06347078E-3,
