Labels,ZnSe_01092022 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,1.63155291E-2,
510.00,1.60598904E-2,
511.00,1.56174395E-2,
512.00,1.49919549E-2,
513.00,1.50195276E-2,
514.00,1.51011273E-2,
515.00,1.46360761E-2,
516.00,1.46878175E-2,
517.00,1.42649580E-2,
518.00,1.40877804E-2,
519.00,1.39223766E-2,
520.00,1.38536626E-2,
521.00,1.37995165E-2,
522.00,1.37680527E-2,
523.00,1.31403599E-2,
524.00,1.29955560E-2,
525.00,1.25627127E-2,
526.00,1.25112813E-2,
527.00,1.23435892E-2,
528.00,1.20609077E-2,
529.00,1.20671038E-2,
530.00,1.19082425E-2,
531.00,1.18239764E-2,
532.00,1.15215024E-2,
533.00,1.12275789E-2,
534.00,1.16102397E-2,
535.00,1.08237565E-2,
536.00,1.07724201E-2,
537.00,1.04158372E-2,
538.00,1.03318896E-2,
539.00,1.03425113E-2,
540.00,1.03184460E-2,
541.00,9.86383948E-3,
542.00,1.01349195E-2,
543.00,9.92823858E-3,
544.00,9.70420521E-3,
545.00,9.53552593E-3,
546.00,9.45450366E-3,
547.00,9.00910515E-3,
548.00,8.93159397E-3,
549.00,8.95959232E-3,
550.00,9.11542960E-3,
551.00,8.90279748E-3,
552.00,8.76476057E-3,
553.00,8.55588168E-3,
554.00,8.83489382E-3,
555.00,8.48755427E-3,
556.00,8.38186685E-3,
557.00,8.68083537E-3,
558.00,7.19077652E-3,
559.00,7.67274201E-3,
560.00,7.63346907E-3,
561.00,7.79492548E-3,
562.00,7.93766417E-3,
563.00,7.85226002E-3,
564.00,7.76492944E-3,
565.00,7.94275664E-3,
566.00,7.84054212E-3,
567.00,7.71711068E-3,
568.00,7.72511587E-3,
569.00,7.59139145E-3,
570.00,7.38695124E-3,
571.00,7.67600862E-3,
572.00,7.58948550E-3,
573.00,7.73294456E-3,
574.00,7.37085752E-3,
575.00,7.34115252E-3,
576.00,7.82038644E-3,
577.00,7.84632843E-3,
578.00,8.42280407E-3,
579.00,8.54304805E-3,
580.00,8.66446830E-3,
581.00,8.17451254E-3,
582.00,8.03913362E-3,
583.00,7.53578404E-3,
584.00,7.40521122E-3,
585.00,7.70153850E-3,
586.00,7.60757271E-3,
587.00,7.36369425E-3,
588.00,7.41715636E-3,
589.00,7.63202598E-3,
590.00,7.19317095E-3,
591.00,7.69977365E-3,
592.00,7.06871971E-3,
593.00,7.11691845E-3,
594.00,7.45254382E-3,
595.00,7.37882406E-3,
596.00,7.48468004E-3,
597.00,7.08687585E-3,
598.00,7.13693956E-3,
599.00,6.78096898E-3,
600.00,6.38795039E-3,
601.00,5.74849779E-3,
602.00,5.63673628E-3,
603.00,5.39130811E-3,
604.00,5.24927163E-3,
605.00,5.65180369E-3,
606.00,5.91686321E-3,
607.00,5.96680585E-3,
608.00,6.11349801E-3,
609.00,5.84695349E-3,
610.00,6.57401280E-3,
611.00,6.82336977E-3,
612.00,7.07111089E-3,
613.00,7.21290847E-3,
614.00,7.38969538E-3,
615.00,8.01825617E-3,
616.00,7.68612139E-3,
617.00,7.45052565E-3,
618.00,7.34516932E-3,
619.00,7.35370582E-3,
620.00,6.96826121E-3,
621.00,6.59539225E-3,
622.00,6.82849390E-3,
623.00,5.54060470E-3,
624.00,4.76365071E-3,
625.00,4.48173517E-3,
626.00,4.70035337E-3,
627.00,4.14626673E-3,
628.00,4.43510432E-3,
629.00,3.97382351E-3,
630.00,3.69152310E-3,
631.00,3.83613026E-3,
632.00,4.02514404E-3,
633.00,4.06813947E-3,
634.00,3.41966981E-3,
635.00,3.70113947E-3,
636.00,3.59146204E-3,
637.00,3.31764529E-3,
638.00,3.52886319E-3,
639.00,3.20968265E-3,
640.00,3.45596531E-3,
641.00,2.89780111E-3,
642.00,3.27184680E-3,
643.00,2.99395202E-3,
644.00,3.33615858E-3,
645.00,3.61332204E-3,
646.00,3.69395479E-3,
647.00,3.44953150E-3,
648.00,3.59310210E-3,
649.00,3.61076766E-3,
650.00,3.43935960E-3,
651.00,3.88496369E-3,
652.00,3.54544003E-3,
653.00,3.87131656E-3,
654.00,4.06871410E-3,
655.00,3.89981316E-3,
656.00,4.13858984E-3,
657.00,3.52315395E-3,
658.00,3.51225701E-3,
659.00,3.70167778E-3,
660.00,3.79789923E-3,
661.00,3.42454622E-3,
662.00,3.76474275E-3,
663.00,3.74622201E-3,
664.00,3.37019726E-3,
665.00,3.39284097E-3,
666.00,2.67558545E-3,
667.00,3.31293116E-3,
668.00,3.11580463E-3,
669.00,2.81942869E-3,
670.00,3.02014663E-3,
671.00,2.77105789E-3,
672.00,2.96209613E-3,
673.00,2.95770005E-3,
674.00,2.60685338E-3,
675.00,2.21671816E-3,
676.00,2.17479095E-3,
677.00,2.29122629E-3,
678.00,2.50322022E-3,
679.00,2.86008720E-3,
680.00,3.49047850E-3,
681.00,3.53835663E-3,
682.00,3.48777883E-3,
683.00,3.72166513E-3,
684.00,3.54810571E-3,
685.00,4.14255401E-3,
686.00,4.29728022E-3,
687.00,4.82560694E-3,
688.00,4.47644945E-3,
689.00,4.79292823E-3,
690.00,5.32167731E-3,
691.00,4.94970940E-3,
692.00,4.11902275E-3,
693.00,4.27880744E-3,
694.00,4.21281671E-3,
695.00,3.91541002E-3,
696.00,3.85166029E-3,
697.00,3.75570171E-3,
698.00,3.54589103E-3,
699.00,3.06621357E-3,
700.00,3.04683764E-3,
