Labels,29082022_CoreCrown1 Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,1.03085823E-1,
510.00,1.04781233E-1,
511.00,1.06469303E-1,
512.00,1.06032103E-1,
513.00,1.01420581E-1,
514.00,9.66478363E-2,
515.00,9.19977278E-2,
516.00,8.88396353E-2,
517.00,8.58717337E-2,
518.00,8.41408744E-2,
519.00,8.31416398E-2,
520.00,8.13871697E-2,
521.00,7.94551894E-2,
522.00,7.88028017E-2,
523.00,7.80441612E-2,
524.00,7.69090205E-2,
525.00,7.59892836E-2,
526.00,7.54775554E-2,
527.00,7.39889964E-2,
528.00,7.35835657E-2,
529.00,7.27098584E-2,
530.00,7.20808208E-2,
531.00,7.11603835E-2,
532.00,7.07087293E-2,
533.00,7.01994821E-2,
534.00,6.88419491E-2,
535.00,6.76351711E-2,
536.00,6.64106607E-2,
537.00,6.54428825E-2,
538.00,6.46817610E-2,
539.00,6.52612671E-2,
540.00,6.41475916E-2,
541.00,6.36099726E-2,
542.00,6.20871373E-2,
543.00,6.19731210E-2,
544.00,6.07834831E-2,
545.00,6.05747886E-2,
546.00,6.03987128E-2,
547.00,5.96689470E-2,
548.00,5.84362075E-2,
549.00,5.90385348E-2,
550.00,5.84044307E-2,
551.00,5.84864356E-2,
552.00,5.72558418E-2,
553.00,5.74695468E-2,
554.00,5.79334907E-2,
555.00,5.72221801E-2,
556.00,5.80857955E-2,
557.00,5.73672354E-2,
558.00,5.75909913E-2,
559.00,5.61429858E-2,
560.00,5.68917766E-2,
561.00,5.62584698E-2,
562.00,5.70459142E-2,
563.00,5.75805977E-2,
564.00,5.73963635E-2,
565.00,5.75490855E-2,
566.00,5.75039871E-2,
567.00,5.80519512E-2,
568.00,5.80580160E-2,
569.00,5.93311116E-2,
570.00,5.95635250E-2,
571.00,5.98505698E-2,
572.00,6.08269870E-2,
573.00,6.14649244E-2,
574.00,6.23590723E-2,
575.00,6.37737140E-2,
576.00,6.48731068E-2,
577.00,6.59522116E-2,
578.00,6.63595125E-2,
579.00,6.61437511E-2,
580.00,6.66236058E-2,
581.00,6.84579834E-2,
582.00,6.86637238E-2,
583.00,6.81225210E-2,
584.00,6.69178143E-2,
585.00,6.59752861E-2,
586.00,6.43030405E-2,
587.00,6.15965538E-2,
588.00,5.85498512E-2,
589.00,5.65791614E-2,
590.00,5.34847379E-2,
591.00,5.02959117E-2,
592.00,4.80054729E-2,
593.00,4.55221422E-2,
594.00,4.31986600E-2,
595.00,4.15567532E-2,
596.00,3.97196747E-2,
597.00,3.83423343E-2,
598.00,3.66777144E-2,
599.00,3.48107778E-2,
600.00,3.40969004E-2,
601.00,3.35215367E-2,
602.00,3.27295922E-2,
603.00,3.21032666E-2,
604.00,3.10206860E-2,
605.00,2.98918281E-2,
606.00,2.94036008E-2,
607.00,3.12442388E-2,
608.00,3.10358405E-2,
609.00,2.98035257E-2,
610.00,2.96911858E-2,
611.00,2.93360744E-2,
612.00,2.88958028E-2,
613.00,2.84237806E-2,
614.00,2.81493105E-2,
615.00,2.79029049E-2,
616.00,2.82179266E-2,
617.00,2.83170454E-2,
618.00,2.70490963E-2,
619.00,2.60073058E-2,
620.00,2.62957588E-2,
621.00,2.62764506E-2,
622.00,2.54287571E-2,
623.00,2.57062614E-2,
624.00,2.52974201E-2,
625.00,2.44327243E-2,
626.00,2.43533216E-2,
627.00,2.43886840E-2,
628.00,2.44414471E-2,
629.00,2.40595080E-2,
630.00,2.37108935E-2,
631.00,2.30400618E-2,
632.00,2.29137391E-2,
633.00,2.19880622E-2,
634.00,2.22489201E-2,
635.00,2.24161614E-2,
636.00,2.23322213E-2,
637.00,2.28612330E-2,
638.00,2.17354018E-2,
639.00,2.19589565E-2,
640.00,2.19987929E-2,
641.00,2.16292869E-2,
642.00,2.09310092E-2,
643.00,2.07533743E-2,
644.00,2.07028538E-2,
645.00,2.08763368E-2,
646.00,2.07062680E-2,
647.00,2.07796451E-2,
648.00,2.09315605E-2,
649.00,2.04706378E-2,
650.00,2.05013882E-2,
651.00,1.98553279E-2,
652.00,1.93131417E-2,
653.00,1.89931635E-2,
654.00,1.98741071E-2,
655.00,1.91727504E-2,
656.00,1.95236504E-2,
657.00,1.99388973E-2,
