Labels,26082022-coreshell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,700.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,0.500,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

509.00,2.21483279E-2,
510.00,2.09072493E-2,
511.00,2.13375576E-2,
512.00,2.18745098E-2,
513.00,2.22363435E-2,
514.00,2.11053099E-2,
515.00,2.09870394E-2,
516.00,2.13191658E-2,
517.00,2.24177875E-2,
518.00,2.13722754E-2,
519.00,2.01863404E-2,
520.00,2.10524257E-2,
521.00,2.18744669E-2,
522.00,2.17288397E-2,
523.00,2.02662591E-2,
524.00,2.03075577E-2,
525.00,2.11078022E-2,
526.00,2.17830185E-2,
527.00,2.08010953E-2,
528.00,2.05062591E-2,
529.00,2.15539988E-2,
530.00,2.24834234E-2,
531.00,2.18714494E-2,
532.00,2.08137538E-2,
533.00,2.10856162E-2,
534.00,2.17376389E-2,
535.00,2.20203213E-2,
536.00,2.13719215E-2,
537.00,2.11848374E-2,
538.00,2.22457964E-2,
539.00,2.30767298E-2,
540.00,2.21464038E-2,
541.00,2.17049941E-2,
542.00,2.21340861E-2,
543.00,2.32309215E-2,
544.00,2.37372238E-2,
545.00,2.33323723E-2,
546.00,2.32805070E-2,
547.00,2.44066734E-2,
548.00,2.54749935E-2,
549.00,2.58502681E-2,
550.00,2.57752612E-2,
551.00,2.66325101E-2,
552.00,2.76120268E-2,
553.00,2.87691019E-2,
554.00,2.89403480E-2,
555.00,2.92129498E-2,
556.00,3.06325778E-2,
557.00,3.14839333E-2,
558.00,3.19140740E-2,
559.00,3.20476480E-2,
560.00,3.23686562E-2,
561.00,3.30010280E-2,
562.00,3.39485221E-2,
563.00,3.39667797E-2,
564.00,3.29691544E-2,
565.00,3.30200382E-2,
566.00,3.32581773E-2,
567.00,3.28980759E-2,
568.00,3.13503295E-2,
569.00,3.05319969E-2,
570.00,2.93738917E-2,
571.00,2.84313224E-2,
572.00,2.70502958E-2,
573.00,2.51606889E-2,
574.00,2.39154585E-2,
575.00,2.28956491E-2,
576.00,2.23841015E-2,
577.00,2.03418881E-2,
578.00,1.85919311E-2,
579.00,1.72958486E-2,
580.00,1.65565833E-2,
581.00,1.63186360E-2,
582.00,1.50245102E-2,
583.00,1.40181780E-2,
584.00,1.41755948E-2,
585.00,1.41486404E-2,
586.00,1.28972065E-2,
587.00,1.20419972E-2,
588.00,1.15606766E-2,
589.00,1.11134183E-2,
590.00,1.11760423E-2,
591.00,1.08469538E-2,
592.00,1.04921395E-2,
593.00,1.07602961E-2,
594.00,1.14267720E-2,
595.00,1.15424776E-2,
596.00,1.18651632E-2,
597.00,1.18211908E-2,
598.00,1.22860260E-2,
599.00,1.33129256E-2,
600.00,1.40283462E-2,
601.00,1.45258736E-2,
602.00,1.50788054E-2,
603.00,1.63710359E-2,
604.00,1.73807144E-2,
605.00,1.83628667E-2,
606.00,1.94588080E-2,
607.00,2.04508845E-2,
608.00,2.10489370E-2,
609.00,2.22790204E-2,
610.00,2.32891440E-2,
611.00,2.39965543E-2,
612.00,2.46579461E-2,
613.00,2.50308923E-2,
614.00,2.45489571E-2,
615.00,2.43351441E-2,
616.00,2.45378390E-2,
617.00,2.32152659E-2,
618.00,2.16342229E-2,
619.00,2.03872677E-2,
620.00,1.88536905E-2,
621.00,1.70239918E-2,
622.00,1.42732374E-2,
623.00,1.29597001E-2,
624.00,1.22208949E-2,
625.00,9.44020972E-3,
626.00,6.41052844E-3,
627.00,4.32859221E-3,
628.00,2.31534499E-3,
629.00,4.77958616E-4,
630.00,-1.12092681E-3,
631.00,-2.41309102E-3,
632.00,-2.84784171E-3,
633.00,-3.52599146E-3,
634.00,-4.56121424E-3,
635.00,-5.07666450E-3,
636.00,-5.80603350E-3,
637.00,-5.94173092E-3,
638.00,-6.34159334E-3,
639.00,-6.87832804E-3,
640.00,-7.09156552E-3,
641.00,-7.02447817E-3,
642.00,-7.92235602E-3,
643.00,-8.18572380E-3,
644.00,-7.89365172E-3,
645.00,-8.10483657E-3,
646.00,-7.56417308E-3,
647.00,-7.68321706E-3,
648.00,-7.68697821E-3,
649.00,-8.00905097E-3,
650.00,-8.07362515E-3,
651.00,-8.52025952E-3,
652.00,-7.89691228E-3,
653.00,-7.39424350E-3,
654.00,-7.47991772E-3,
655.00,-7.36534223E-3,
656.00,-7.58644287E-3,
657.00,-7.37362588E-3,
658.00,-7.43718818E-3,
659.00,-8.37618485E-3,
660.00,-7.85850547E-3,
661.00,-7.79563654E-3,
662.00,-7.90664461E-3,
663.00,-7.41761690E-3,
664.00,-7.51767680E-3,
665.00,-7.34186079E-3,
666.00,-6.91315578E-3,
667.00,-7.22500961E-3,
668.00,-7.61718955E-3,
669.00,-7.75305368E-3,
670.00,-7.16200517E-3,
671.00,-7.43860612E-3,
672.00,-7.32102990E-3,
673.00,-6.72461418E-3,
674.00,-6.80325786E-3,
